rank_test_score,param_n_neighbors,param_weights,param_p,param_metric,train_rmse,test_rmse
1,11,distance,1,manhattan,0.13160577872276022,0.8675407507511598
1,11,distance,2,manhattan,0.13160577872276022,0.8675407507511598
1,11,distance,1,minkowski,0.13160577872276022,0.8675407507511598
4,19,distance,2,manhattan,0.1316054655486217,0.8748576176168676
4,19,distance,1,manhattan,0.1316054655486217,0.8748576176168676
6,21,distance,2,manhattan,0.1316054655486217,0.8777764645908066
6,21,distance,1,manhattan,0.1316054655486217,0.8777764645908066
8,35,distance,1,minkowski,0.1316054655486217,0.8927159617235915
9,43,distance,1,minkowski,0.1316054655486217,0.8994618657115493
10,51,distance,1,manhattan,0.1316054655486217,0.9057045283600627
11,59,distance,1,manhattan,0.1316054655486217,0.91142298024854
11,59,distance,1,minkowski,0.1316054655486217,0.91142298024854
13,11,distance,2,euclidean,0.2026059949911486,0.9158582235080862
14,67,distance,1,manhattan,0.1316054655486217,0.9158700917230618
15,71,distance,1,minkowski,0.1316054655486217,0.9180689548838971
16,19,distance,1,euclidean,0.20245373459675337,0.9216521715748363
17,83,distance,1,manhattan,0.1316054655486217,0.924167895809893
18,91,distance,2,manhattan,0.1316054655486217,0.9278964436475654
18,91,distance,1,manhattan,0.1316054655486217,0.9278964436475654
20,27,distance,2,euclidean,0.20243288619992644,0.9290374502775872
21,3,uniform,1,manhattan,0.6308473378075139,0.9299417132846608
22,99,distance,1,minkowski,0.1316054655486217,0.9311832472489212
22,99,distance,2,manhattan,0.1316054655486217,0.9311832472489212
24,35,distance,2,euclidean,0.20243135889174227,0.9360641604440848
25,43,distance,2,minkowski,0.20243135936088308,0.9421645842853541
26,11,uniform,1,manhattan,0.8561265780857782,0.9462028220779707
26,11,uniform,1,minkowski,0.8561265780857782,0.9462028220779707
28,51,distance,2,minkowski,0.20243135981844396,0.9470971750258026
28,51,distance,1,euclidean,0.20243135981844396,0.9470971750258026
30,67,distance,1,euclidean,0.20243136129325973,0.9567109813644475
31,71,distance,2,euclidean,0.2024313616958802,0.9586509452554587
32,75,distance,1,euclidean,0.20243136216891774,0.9606251223385774
33,83,distance,2,minkowski,0.2024313629452458,0.9642821914853903
34,21,distance,2,chebyshev,0.1316054655486217,0.9653627876582437
35,91,distance,1,euclidean,0.20243136365406958,0.9679653932983422
36,51,distance,2,chebyshev,0.1316054655486217,0.9856776051049301
36,51,distance,1,chebyshev,0.1316054655486217,0.9856776051049301
38,59,distance,1,chebyshev,0.1316054655486217,0.9892550315449461
39,27,uniform,1,minkowski,0.9533906876368673,0.9929915357707537
39,27,uniform,2,manhattan,0.9533906876368673,0.9929915357707537
41,3,distance,1,chebyshev,0.132555450100261,1.0002240183722553
42,91,distance,2,chebyshev,0.1316054655486217,1.0037429760576355
43,99,distance,1,chebyshev,0.1316054655486217,1.0068781734332997
44,35,uniform,2,manhattan,0.9770734961476728,1.0082815131822618
45,11,uniform,2,euclidean,0.9148560578032024,1.0113122946659765
46,43,uniform,1,minkowski,0.9949076964640927,1.0207429139803763
46,43,uniform,2,manhattan,0.9949076964640927,1.0207429139803763
48,19,uniform,2,euclidean,0.9778153483850264,1.0355831822950001
49,59,uniform,1,minkowski,1.0206635534611004,1.0403825671361715
50,75,uniform,1,manhattan,1.0388384996561788,1.0544723977673605
51,83,uniform,1,minkowski,1.0462546586901138,1.0602823137733886
52,11,uniform,2,chebyshev,0.9629533355740171,1.0650819771330176
53,91,uniform,1,manhattan,1.0527750859606981,1.0657427222139817
54,35,uniform,2,euclidean,1.0342015822871211,1.0664575806535233
54,35,uniform,1,euclidean,1.0342015822871211,1.0664575806535233
56,99,uniform,1,minkowski,1.0587187047867541,1.0706971620465284
56,99,uniform,1,manhattan,1.0587187047867541,1.0706971620465284
56,99,uniform,2,manhattan,1.0587187047867541,1.0706971620465284
59,43,uniform,2,euclidean,1.0508284084018964,1.0772525201130716
59,43,uniform,2,minkowski,1.0508284084018964,1.0772525201130716
61,51,uniform,1,euclidean,1.0642844275222565,1.0861360228885693
61,51,uniform,1,euclidean,1.0642844275222565,1.0861360228885693
63,19,uniform,1,chebyshev,1.0291997221393152,1.090187535936508
63,19,uniform,2,chebyshev,1.0291997221393152,1.090187535936508
65,59,uniform,2,euclidean,1.0745732554086187,1.0940853337407364
66,21,uniform,2,chebyshev,1.0393453343163392,1.0944791304863581
67,71,uniform,2,euclidean,1.087840026018369,1.1045154465774205
68,27,uniform,1,chebyshev,1.0616962171447322,1.1056930914772696
69,75,uniform,2,euclidean,1.091513277070097,1.107394938794545
70,83,uniform,2,euclidean,1.0982361836887744,1.1125013167876152
71,35,uniform,1,chebyshev,1.0828052154163794,1.1167400813781265
72,91,uniform,2,minkowski,1.1042542661470611,1.11780755753543
72,91,uniform,2,euclidean,1.1042542661470611,1.11780755753543
74,43,uniform,2,chebyshev,1.0992406404619952,1.1274668232392155
75,51,uniform,1,chebyshev,1.1119558530341456,1.1365181996672191
76,67,uniform,2,chebyshev,1.1314708929101152,1.1496859830945905
77,71,uniform,1,chebyshev,1.13542416197812,1.1524722620158425
78,91,uniform,2,chebyshev,1.1525223698927691,1.1660689712197823
78,91,uniform,1,chebyshev,1.1525223698927691,1.1660689712197823
80,99,uniform,1,chebyshev,1.1582970190766348,1.1708294988019279
