rank_test_score,param_n_neighbors,param_weights,param_p,train_rmse,test_rmse
1,7,distance,1,0.012254261193514002,0.7064266372365328
2,5,distance,1,0.012254261193514002,0.7073251421966622
3,17,distance,1,0.012254261193514002,0.7310312301174293
4,19,distance,1,0.012254261193514002,0.7355475369346324
5,3,uniform,1,0.49751173149838956,0.7435098750338882
6,23,distance,1,0.012254261193514002,0.7449248739495986
7,5,uniform,1,0.5936768472233972,0.7466911346540948
8,25,distance,1,0.012254261193514002,0.7473755618252245
9,7,distance,2,0.012254261323726883,0.756561428773543
10,35,distance,1,0.012254261193514002,0.757659530086703
11,9,distance,2,0.012254261352062168,0.7600139314774662
12,11,distance,2,0.012254261380481688,0.7601849680861604
13,37,distance,1,0.012254261193514002,0.7612140675049316
14,39,distance,1,0.012254261193514002,0.7642055043510166
15,15,distance,2,0.012254261447113493,0.7691611793135001
16,45,distance,1,0.012254261193514002,0.7697409072401146
17,9,uniform,1,0.6813599935853761,0.7699375127376035
18,17,distance,2,0.01225426148188679,0.7730277087673483
19,49,distance,1,0.012254261193514002,0.7740700529202035
20,51,distance,1,0.012254261193514002,0.7758251207822876
21,19,distance,2,0.012254261520125934,0.7758280055220863
22,11,uniform,1,0.7004041013975745,0.7774725257202907
23,53,distance,1,0.012254261193514002,0.7776189181062932
24,57,distance,1,0.012254261193514002,0.7802778096215744
25,59,distance,1,0.012254261193514002,0.7817366745023936
26,65,distance,1,0.012254261193514002,0.7862935424364004
27,27,distance,2,0.012254261684137452,0.7871465722743093
28,29,distance,2,0.012254261730815145,0.7893377709258184
29,71,distance,1,0.012254261193514002,0.7894657276842539
30,73,distance,1,0.012254261193514002,0.7903163570236292
31,75,distance,1,0.012254261193514002,0.7907034114951148
32,15,uniform,1,0.7316892677801347,0.7911285725960978
33,5,uniform,2,0.6374010335514838,0.7937105217667226
34,3,uniform,2,0.5397965859288868,0.7943231888494052
35,35,distance,2,0.01225426187215888,0.7947415352405945
36,83,distance,1,0.012254261193514002,0.7963194078698982
37,85,distance,1,0.012254261193514002,0.7979823790300247
38,87,distance,1,0.012254261193514002,0.7993218196862923
39,7,uniform,2,0.6852596302000129,0.799513393440641
40,39,distance,2,0.012254261971566736,0.7999021193686234
41,89,distance,1,0.012254261193514002,0.8007229895338475
42,19,uniform,1,0.7544051529948178,0.8024829855418936
43,95,distance,1,0.012254261193514002,0.8043723277198889
44,99,distance,1,0.012254261193514002,0.8061492612863846
45,49,distance,2,0.012254262220526986,0.8082156631020533
46,21,uniform,1,0.7646705770703555,0.8103463261974377
47,11,uniform,2,0.7384215092119844,0.8131060599713253
48,59,distance,2,0.012254262497105001,0.8181965433302367
49,61,distance,2,0.012254262555830852,0.8200185644268351
50,63,distance,2,0.012254262615463094,0.8216089405350459
51,13,uniform,2,0.7573941103925643,0.8230012044235063
52,65,distance,2,0.01225426267566419,0.8232657439060683
53,69,distance,2,0.012254262801461755,0.8265462132614412
54,31,uniform,1,0.7973661870636382,0.8273392992239309
55,71,distance,2,0.012254262867896559,0.8278800923692592
56,15,uniform,2,0.7720075227595607,0.8293003689239786
57,33,uniform,1,0.8030673695121539,0.8299360219548061
58,79,distance,2,0.012254263131427946,0.834197851797159
59,37,uniform,1,0.8122251237339512,0.835202507612234
60,81,distance,2,0.012254263201751778,0.8361574253028942
61,17,uniform,2,0.7840728600814589,0.8365438867605337
62,41,uniform,1,0.8202918376259702,0.8396962011642871
63,21,uniform,2,0.8033991401376259,0.8442006602772254
64,93,distance,2,0.012254263602956676,0.844835638196984
65,95,distance,2,0.012254263673186569,0.8467182686519406
66,23,uniform,2,0.811311195744307,0.8472276854102126
67,97,distance,2,0.012254263744082847,0.8479895226422756
68,51,uniform,1,0.8341049550637418,0.8505185315481545
69,53,uniform,1,0.8367653398690019,0.8518838431800172
70,55,uniform,1,0.8383889524465016,0.852972316081961
71,25,uniform,2,0.8178902063980626,0.8550404503902201
72,59,uniform,1,0.8420898836947794,0.8550836388814672
73,65,uniform,1,0.8468491284014609,0.8587523217014396
74,67,uniform,1,0.8482056746061132,0.8600965055024964
75,69,uniform,1,0.8494224041069349,0.8603061662680558
76,71,uniform,1,0.850703124055121,0.8606905847190505
77,75,uniform,1,0.8525110471679916,0.8610207113925294
78,73,uniform,1,0.8517858117103457,0.8611858562616606
79,77,uniform,1,0.8536081688039857,0.8621569784273847
80,81,uniform,1,0.8560529425199754,0.8646676308091156
81,33,uniform,2,0.8402304612253172,0.8656558468586057
82,35,uniform,2,0.8445648704422397,0.8684354970866305
83,87,uniform,1,0.8599851952217002,0.8691911263270291
84,41,uniform,2,0.8563549291698608,0.8756818581036527
85,43,uniform,2,0.8590283096270532,0.8781514505602062
86,47,uniform,2,0.864431746214243,0.8808624075933953
87,51,uniform,2,0.8692040680112536,0.8854593634620046
88,59,uniform,2,0.8805532219441655,0.8954564271525743
89,61,uniform,2,0.8832071954368167,0.8977091009941081
90,63,uniform,2,0.8856317295594749,0.8995618930914386
91,71,uniform,2,0.8945081833694484,0.9065892187255737
92,73,uniform,2,0.8967923664078353,0.9083609860567416
93,75,uniform,2,0.8986635892154248,0.9108032633125761
94,79,uniform,2,0.9028678724618759,0.9137511823420058
95,81,uniform,2,0.9047306975978424,0.9159022916777667
96,83,uniform,2,0.9066638555534099,0.9174666965107537
97,85,uniform,2,0.908344551324618,0.9187378124700146
98,87,uniform,2,0.9099215783324676,0.9205221531817184
99,93,uniform,2,0.9135676836530443,0.9241792439232062
100,95,uniform,2,0.9152611840086347,0.9262303873337614
