rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
1,200,,2,1,0.5,0.31576892652039457,0.72284280235048
2,200,,6,2,0.25,0.401403920483279,0.726409312637312
3,200,,2,4,0.5,0.45744034840847736,0.7357008263843736
4,200,,6,2,sqrt,0.4323417873919576,0.7374171964958985
5,100,,2,4,0.5,0.45914305550543877,0.7378261714655361
6,100,,2,1,log2,0.3229552163471444,0.7387829019936223
7,200,,2,2,log2,0.43048319167526117,0.7458004965615932
8,200,,6,4,sqrt,0.5210523057874029,0.7553052997153173
9,100,,10,4,sqrt,0.5393299013662552,0.76156564834841
10,100,,2,4,log2,0.560385977020023,0.7751164557680148
11,200,10,2,2,0.5,0.8133622698379627,0.8794053938147047
12,200,10,2,1,0.5,0.8127550811372143,0.8799178475472209
13,200,10,2,4,0.5,0.8179539614823876,0.8802855793702157
13,200,10,6,4,0.5,0.8179539614823876,0.8802855793702157
15,200,10,6,1,0.5,0.814316542883657,0.8803060113690935
16,100,10,6,1,0.25,0.8255732038946944,0.8855339661130739
17,100,10,2,2,0.25,0.8257425859469486,0.8863908699713996
18,100,10,10,2,0.25,0.8295018453039875,0.8868325166564219
19,100,10,2,4,0.25,0.8305485441953231,0.8869722685810689
20,100,10,10,1,0.25,0.8288492155245956,0.8877155681830895
21,100,10,6,1,sqrt,0.859560513801227,0.9121609134803484
22,200,10,6,4,sqrt,0.8630682145655469,0.9122934925023578
23,100,10,10,2,sqrt,0.8630337125975959,0.9128329891459619
24,200,10,10,4,sqrt,0.8648690688785657,0.9129148821407912
25,200,10,2,1,log2,0.8848116341866119,0.9343672093851763
26,200,10,6,4,log2,0.8937621299367436,0.937872082016879
27,100,10,6,4,log2,0.8948353001121624,0.9384864459456346
28,100,10,10,2,log2,0.8943243568030641,0.9388733272048196
29,200,5,10,2,0.5,1.0609784948117187,1.0670281876221952
30,200,5,2,4,0.5,1.0610917331198615,1.0670803793830208
31,200,5,6,2,0.5,1.0610677287646726,1.0670942008784705
32,100,5,6,1,0.5,1.061729535746602,1.0677422698487173
33,100,5,10,4,0.5,1.0618012549703066,1.067822934412292
34,100,5,2,4,0.5,1.061859127115626,1.0678384346809617
35,200,5,6,2,0.25,1.062285014747773,1.067929561758449
36,200,5,6,1,0.25,1.062280746101586,1.067941273725155
37,100,5,10,4,0.25,1.0627089297742491,1.068443282125448
38,100,5,10,2,0.25,1.0627709277322333,1.0684863902713673
39,100,5,10,1,0.25,1.0627747547904725,1.0684930604441871
40,100,5,2,1,0.25,1.0631732220760604,1.068904673733346
41,100,5,6,4,sqrt,1.0832444448867609,1.0880195666767158
41,100,5,2,4,sqrt,1.0832444448867609,1.0880195666767158
43,200,5,6,1,sqrt,1.0834574870257543,1.088289469396289
44,200,5,2,2,sqrt,1.0836178286719191,1.0884416902953746
45,200,5,2,1,sqrt,1.0837021596795178,1.0885460976201287
46,200,5,6,1,log2,1.1051962583378556,1.109744692044932
47,200,5,10,1,log2,1.1053423331256975,1.1098599057568008
48,100,5,6,4,log2,1.1074784507888564,1.1120116128476234
49,100,5,6,2,log2,1.107833749285588,1.1124126682536086
50,100,5,2,2,log2,1.108267271326203,1.1128097707733962
